val_loss,val_acc,epoch,step,train_loss_epoch,train_acc_epoch,train_loss_step,train_acc_step
0.14164166152477264,0.9666666388511658,0,6,,,,
,,0,6,0.3132726550102234,0.8660714030265808,,
0.09306348115205765,0.9666666388511658,1,13,,,,
,,1,13,0.04338088259100914,0.9821428656578064,,
0.0841435119509697,0.9666666388511658,2,20,,,,
,,2,20,0.015871750190854073,1.0,,
0.07798121124505997,0.9666666388511658,3,27,,,,
,,3,27,0.008270678110420704,1.0,,
0.07549368590116501,0.9666666388511658,4,34,,,,
,,4,34,0.00499173766002059,1.0,,
0.07068319618701935,0.9666666388511658,5,41,,,,
,,5,41,0.008218054659664631,1.0,,
0.06501906365156174,0.9833333492279053,6,48,,,,
,,6,48,0.010456393472850323,0.9955357313156128,,
,,7,49,,,0.0007560700178146362,1.0
0.06756803393363953,0.9833333492279053,7,55,,,,
,,7,55,0.00188368558883667,1.0,,
0.0689685270190239,0.9666666388511658,8,62,,,,
,,8,62,0.006144341547042131,1.0,,
0.06948062032461166,0.9666666388511658,9,69,,,,
,,9,69,0.015482435002923012,0.9955357313156128,,
0.06826803833246231,0.9833333492279053,10,76,,,,
,,10,76,0.004517685621976852,1.0,,
0.06615403294563293,0.9833333492279053,11,83,,,,
,,11,83,0.0019394255941733718,1.0,,
0.06473467499017715,0.9833333492279053,12,90,,,,
,,12,90,0.0014470068272203207,1.0,,
0.0642332136631012,0.9833333492279053,13,97,,,,
,,13,97,0.001061833812855184,1.0,,
,,14,99,,,0.0004710179637186229,1.0
0.06399734318256378,0.9833333492279053,14,104,,,,
,,14,104,0.0009461931185796857,1.0,,
0.06485876441001892,0.9833333492279053,15,111,,,,
,,15,111,0.0005919180694036186,1.0,,
0.06319720298051834,0.9833333492279053,16,118,,,,
,,16,118,0.00048074513324536383,1.0,,
0.06361177563667297,0.9833333492279053,17,125,,,,
,,17,125,0.000933706178329885,1.0,,
0.06267228722572327,0.9833333492279053,18,132,,,,
,,18,132,0.000597919977735728,1.0,,
0.06215297430753708,0.9833333492279053,19,139,,,,
,,19,139,0.000670265348162502,1.0,,
